iter	Passed	Remaining
354	286485	3748516
355	287290	3747690
356	288094	3746843
357	288896	3745969
358	289701	3745144
359	290513	3744394
360	291321	3743601
361	292120	3742688
362	292940	3742055
363	293820	3742180
364	294666	3741855
365	295496	3741337
366	296383	3741539
367	297254	3741531
368	298096	3741155
369	298927	3740631
370	299758	3740113
371	300600	3739725
372	301469	3739674
373	302314	3739321
374	303137	3738699
375	303950	3737945
376	304749	3737021
377	305548	3736096
378	306355	3735276
379	307151	3734312
380	307958	3733494
381	308754	3732530
382	309564	3731748
383	310389	3731139
384	311215	3730543
385	312044	3729978
386	312883	3729538
387	313699	3728818
388	314529	3728263
389	315363	3727760
390	316189	3727154
391	317006	3726448
392	317821	3725705
393	318634	3724947
394	319431	3724006
395	320241	3723217
396	321059	3722513
397	321885	3721901
398	322689	3721036
399	323490	3720145
400	324291	3719246
401	325100	3718441
402	325901	3717545
403	326710	3716733
404	327518	3715920
405	328323	3715073
406	329135	3714296
407	329962	3713699
408	330773	3712907
409	331572	3711998
410	332399	3711395
411	333244	3710982
412	334042	3710054
413	334848	3709218
414	335668	3708525
415	336477	3707722
416	337278	3706828
417	338097	3706126
418	338894	3705188
419	339719	3704563
420	340548	3703966
421	341345	3703035
422	342149	3702165
423	342951	3701286
424	343763	3700512
425	344577	3699760
426	345414	3699247
427	346230	3698522
428	347031	3697624
429	347831	3696718
430	348638	3695891
431	349441	3695018
432	350246	3694174
433	351048	3693291
434	351851	3692419
435	352654	3691549
436	353465	3690760
437	354269	3689907
438	355083	3689150
439	355891	3688327
440	356712	3687642
441	357510	3686724
442	358314	3685868
443	359134	3685171
444	359951	3684446
445	360752	3683556
446	361557	3682706
447	362360	3681836
448	363177	3681110
449	363981	3680257
450	364780	3679345
451	365589	3678545
452	366392	3677677
453	367202	3676880
454	368004	3675999
455	368808	3675148
456	369616	3674326
457	370418	3673453
458	371229	3672661
459	372033	3671806
460	372836	3670940
461	373636	3670044
462	374436	3669155
463	375238	3668277
464	376046	3667465
465	376846	3666566
466	377655	3665761
467	378457	3664892
468	379263	3664058
469	380073	3663258
470	380876	3662396
471	381681	3661559
472	382483	3660681
473	383289	3659849
474	384096	3659023
475	384901	3658179
476	385698	3657261
477	386513	3656518
478	387321	3655699
479	388119	3654791
480	388932	3654020
481	389734	3653152
482	390544	3652357
483	391356	3651578
484	392175	3650870
485	392997	3650190
486	393805	3649370
487	394604	3648471
488	395408	3647622
489	396215	3646798
490	397031	3646063
491	397848	3645330
492	398651	3644464
493	399457	3643631
494	400260	3642770
495	401066	3641941
496	401876	3641142
497	402676	3640259
498	403477	3639386
499	404300	3638707
500	405101	3637830
501	405898	3636919
502	406715	3636179
503	407517	3635316
504	408317	3634428
505	409128	3633642
506	409925	3632730
507	410725	3631851
508	411530	3631007
509	412348	3630282
510	413150	3629419
511	413959	3628613
512	415056	3630330
513	415856	3629436
514	416677	3628738
515	417482	3627890
516	418286	3627036
517	419090	3626183
518	419886	3625262
519	420683	3624347
520	421483	3623460
521	422291	3622642
522	423099	3621827
523	423904	3620984
524	424706	3620118
525	425503	3619205
526	426308	3618360
527	427109	3617487
528	427910	3616612
529	428712	3615743
530	429530	3615008
531	430333	3614150
532	431129	3613240
533	431931	3612371
534	432737	3611536
535	433549	3610752
536	434359	3609956
537	435162	3609101
538	435977	3608344
539	436775	3607444
540	437573	3606545
541	438388	3605785
542	439197	3604982
543	439997	3604094
544	440806	3603291
545	441610	3602438
546	442421	3601648
547	443232	3600856
548	444036	3600009
549	444834	3599114
550	445639	3598279
551	446445	3597447
552	447298	3596991
553	448112	3596224
554	448919	3595397
555	449722	3594543
556	450528	3593710
557	451325	3592812
558	452124	3591921
559	452940	3591167
560	453742	3590306
561	454545	3589455
562	455353	3588638
563	456170	3587894
564	456984	3587123
565	457798	3586360
566	458604	3585523
567	459400	3584619
568	460201	3583748
569	461007	3582914
570	461817	3582120
571	462622	3581282
572	463424	3580415
573	464226	3579558
574	465025	3578673
575	465824	3577789
576	466624	3576917
577	467423	3576034
578	468228	3575194
579	469032	3574352
580	469835	3573498
581	470639	3572653
582	471442	3571800
583	472245	3570954
584	473056	3570162
585	473866	3569361
586	474684	3568621
587	475482	3567733
588	476288	3566904
589	477089	3566044
590	477887	3565152
591	478691	3564311
592	479497	3563481
593	480302	3562650
594	481099	3561752
595	481894	3560847
596	482704	3560046
597	483503	3559164
598	484307	3558324
599	485104	3557436
600	485905	3556568
601	486714	3555765
602	487527	3554991
603	488337	3554188
604	489137	3553318
605	489946	3552514
606	490757	3551727
607	491555	3550842
608	492351	3549942
609	493158	3549127
610	493976	3548386
611	494776	3547514
612	495580	3546677
613	496386	3545846
614	497185	3544972
615	497996	3544180
616	498814	3543439
617	499612	3542561
618	500425	3541785
619	501226	3540921
620	502031	3540087
621	502831	3539223
622	503641	3538425
623	504454	3537649
624	505257	3536801
625	506058	3535939
626	506857	3535070
627	507657	3534198
628	508459	3533345
629	509258	3532473
630	510067	3531668
631	510866	3530801
632	511679	3530023
633	512478	3529149
634	513291	3528371
635	514104	3527598
636	514904	3526729
637	515713	3525925
638	516522	3525125
639	517321	3524251
640	518122	3523391
641	518936	3522622
642	519747	3521837
643	520547	3520973
644	521356	3520167
645	522160	3519332
646	522964	3518489
647	523782	3517750
648	524582	3516886
649	525393	3516093
650	526201	3515287
651	527014	3514509
