iter	Logloss
0	0.5503376108
1	0.4469271399
2	0.3784418386
3	0.3246386423
4	0.2852199375
5	0.2584855382
6	0.2357699415
7	0.2209243238
8	0.2078831796
9	0.1966345967
10	0.1864046638
11	0.1772259877
12	0.1698421105
13	0.1639460156
14	0.1577189374
15	0.1531400113
16	0.1485917778
17	0.1438688953
18	0.1402186885
19	0.1367630493
20	0.1334033162
21	0.1307729106
22	0.1269973078
23	0.1249180367
24	0.1216947842
25	0.1184273488
26	0.1164096051
27	0.1142954119
28	0.1123602265
29	0.1103994962
30	0.1089789323
31	0.1073529686
32	0.1049209396
33	0.1034796294
34	0.1012237045
35	0.09961687677
36	0.09812529826
37	0.09675665179
38	0.09496445919
39	0.09392673139
40	0.09291261476
41	0.09192174069
42	0.09094381365
43	0.08983641637
44	0.08876765322
45	0.08770020935
46	0.08677521506
47	0.08598095854
48	0.08521790551
49	0.08407904606
50	0.08306469662
51	0.08222206661
52	0.08125466145
53	0.08027689608
54	0.07943512618
55	0.07861651477
56	0.0779057866
57	0.07727456427
58	0.07660367955
59	0.07582182036
60	0.07509659307
61	0.07451483069
62	0.07368159083
63	0.07311468972
64	0.0725190038
65	0.07205066045
66	0.07152718554
67	0.07066706864
68	0.06988253856
69	0.06937863293
70	0.06880135221
71	0.06828490052
72	0.0678239684
73	0.06726486655
74	0.0667179292
75	0.06609495882
76	0.06559139594
77	0.06508732217
78	0.0645928843
79	0.06417561119
80	0.06367610315
81	0.06321043716
82	0.06268423316
83	0.06208625144
84	0.06158561166
85	0.06109708467
86	0.06033791833
87	0.05985250198
88	0.05935992661
89	0.05889502373
90	0.05850546838
91	0.05816233347
92	0.05782684261
93	0.05726066581
94	0.05694288172
95	0.0563382066
96	0.05578009421
97	0.05527282572
98	0.05482768612
99	0.05453173477
100	0.05395967619
101	0.05363683487
102	0.05323381837
103	0.05277352972
104	0.05245833568
105	0.05204157024
106	0.05156410835
107	0.051233817
108	0.05090638731
109	0.05054324013
110	0.05008187472
111	0.0497407737
112	0.04936225759
113	0.04895779247
114	0.04853539424
115	0.04826837644
116	0.04797502161
117	0.04770305653
118	0.04740434375
119	0.04703047421
120	0.04677802344
121	0.04630830584
122	0.04590321988
123	0.04552287037
124	0.04526423063
125	0.04484928889
126	0.04452338219
127	0.04422579145
128	0.04396098538
129	0.04359549714
130	0.04331372478
131	0.04292490991
132	0.04266112887
133	0.04245585518
134	0.04225325238
135	0.04196053132
136	0.0416765246
137	0.04138451491
138	0.04115270371
139	0.0409704624
140	0.04071340385
141	0.04044605947
142	0.04020205789
143	0.03995022471
144	0.03971632465
145	0.03939908702
146	0.03913587509
147	0.03895189737
148	0.03876771595
149	0.03851342853
150	0.03834424095
151	0.03810062739
152	0.03785496701
153	0.03764326831
154	0.03745967863
155	0.03727879863
156	0.03705443422
157	0.03679045917
158	0.03664574289
159	0.03645868687
160	0.0362778101
161	0.03595939224
162	0.03567615833
163	0.03554813349
164	0.03531435953
165	0.03508497024
166	0.03490271599
167	0.03468962688
168	0.03441400468
169	0.03423309559
170	0.03408859271
171	0.03384050072
172	0.03362870502
173	0.03347431727
174	0.03325748697
175	0.03303282832
176	0.03275790456
177	0.03252127865
178	0.03233030036
179	0.03216215721
180	0.03200308085
181	0.03176275578
182	0.03158962007
183	0.03139959567
184	0.03123725346
185	0.03106356158
186	0.0308652432
187	0.03061447062
188	0.03041744888
189	0.0302665404
190	0.03007262284
191	0.02990299227
